Player,Number,Position,Game,Goals,Shots,Assists,GBs,CTO,Draws,TOs,YC,GC
Roni,4,D,Utah,0,0,0,2,1,0,0,0,0
Sarah,10,A,Utah,0,0,0,0,0,0,0,0,0
Shannon,23,A,Utah,1,5,0,0,0,0,0,0,0
Taylor,2,D,Utah,0,0,0,2,0,0,0,0,0
Tess,3,M,Utah,2,3,0,1,1,0,1,0,0
Becca,15,M,UVU,1,4,0,4,3,0,1,0,0
Brooklyn,5,A,UVU,1,3,1,1,0,0,0,0,0
Devinne,11,D,UVU,0,0,0,0,0,0,1,0,0
Haley,9,A,UVU,1,2,1,1,2,0,0,0,0
Heather,12,M,UVU,0,1,0,0,0,0,0,2,0
Julia,27,D,UVU,0,0,0,2,0,0,0,0,0
Kallie,13,M,UVU,4,6,1,2,0,3,0,0,0
Katie,6,M,UVU,1,5,0,0,0,0,0,0,0
Kenedee,14,M,UVU,0,1,0,4,2,1,1,0,0
Kenna,25,A,UVU,0,1,0,0,0,0,0,0,0
Kim,19,D,UVU,0,0,0,0,0,0,0,0,0
Lauren,8,M,UVU,0,3,0,4,0,1,2,0,0
Logan,20,M,UVU,2,2,0,1,0,0,1,0,0
Maysen,22,M,UVU,0,1,0,1,0,1,1,0,0
Natalie,1,M,UVU,0,2,0,2,0,3,0,0,0
Rachel,26,A,UVU,0,0,0,0,0,0,0,0,0
Raegan,24,A,UVU,0,0,0,0,0,0,0,0,0
Roni,4,D,UVU,0,0,0,1,0,0,0,0,0
Sarah,10,A,UVU,0,0,1,0,0,0,0,0,0
Shannon,23,A,UVU,2,3,0,1,1,0,0,0,0
Taylor,2,D,UVU,0,0,0,0,0,0,0,0,0
Tess,3,M,UVU,0,0,0,0,0,0,0,0,0
Becca,15,M,UVA,0,0,0,1,0,0,1,0,0
Brooklyn,5,A,UVA,0,0,0,1,1,0,2,0,0
Devinne,11,D,UVA,0,0,0,1,1,0,0,0,0
Haley,9,A,UVA,0,2,0,2,2,0,0,0,0
Heather,12,M,UVA,5,8,0,9,2,3,3,0,0
Julia,27,D,UVA,0,0,0,2,2,0,0,0,0
Kallie,13,M,UVA,0,2,0,1,1,0,2,1,0
Katie,6,M,UVA,0,0,0,0,0,0,0,0,0
Kenedee,14,M,UVA,0,0,0,3,2,0,2,0,0
Kenna,25,A,UVA,0,0,0,0,0,0,0,0,0
Kim,19,D,UVA,0,0,0,0,0,0,0,0,0
Lauren,8,M,UVA,0,2,0,0,0,0,0,0,0
Logan,20,M,UVA,0,3,0,0,2,0,1,0,0
Maysen,22,M,UVA,0,0,0,1,0,0,0,0,0
Natalie,1,M,UVA,0,2,0,0,1,0,1,2,0
Rachel,26,A,UVA,0,0,0,0,0,0,0,0,0
Raegan,24,A,UVA,0,0,0,0,0,0,0,0,0
Roni,4,D,UVA,0,0,0,0,0,0,0,0,0
Sarah,10,A,UVA,0,0,0,0,0,0,0,0,0
Shannon,23,A,UVA,2,5,0,1,1,0,0,0,0
Taylor,2,D,UVA,0,0,0,1,1,0,1,0,0
Tess,3,M,UVA,0,4,0,5,3,2,0,0,0
Becca,15,M,BC,0,0,0,1,0,0,0,0,0
Brooklyn,5,A,BC,0,0,0,0,0,0,0,0,0
Devinne,11,D,BC,0,0,0,0,1,0,0,0,0
Haley,9,A,BC,0,0,0,1,0,1,0,0,0
Heather,12,M,BC,3,8,0,1,1,1,0,0,0
Julia,27,D,BC,0,0,0,2,1,0,0,0,0
Kallie,13,M,BC,0,1,0,5,0,0,0,0,0
Katie,6,M,BC,0,0,0,0,0,0,1,0,0
Kenedee,14,M,BC,0,0,0,3,3,0,1,0,0
Kenna,25,A,BC,0,0,0,0,1,0,1,0,0
Kim,19,D,BC,0,0,0,1,0,0,3,0,0
Lauren,8,M,BC,0,0,0,0,0,0,0,1,0
Logan,20,M,BC,2,5,0,2,0,2,0,0,0
Maysen,22,M,BC,0,0,0,0,0,0,0,0,0
Natalie,1,M,BC,3,8,0,4,1,3,0,0,0
Rachel,26,A,BC,0,0,0,0,0,0,0,0,0
Raegan,24,A,BC,0,0,0,0,0,0,0,0,0
Roni,4,D,BC,0,0,0,1,0,0,0,0,0
Sarah,10,A,BC,0,0,0,0,0,0,0,0,0
Shannon,23,A,BC,1,7,1,2,0,0,0,0,0
Taylor,2,D,BC,0,0,0,1,0,0,1,0,0
Tess,3,M,BC,2,6,0,5,1,2,1,0,0
Becca,15,M,Mich,0,0,0,0,0,0,0,0,0
Brooklyn,5,A,Mich,0,0,0,0,0,0,1,0,0
Devinne,11,D,Mich,0,0,0,0,0,0,0,0,0
Haley,9,A,Mich,0,0,0,0,0,0,1,0,0
Heather,12,M,Mich,0,4,0,6,2,4,1,1,0
Julia,27,D,Mich,0,0,0,2,2,0,2,0,0
Kallie,13,M,Mich,0,0,0,0,0,0,1,0,0
Katie,6,M,Mich,0,0,0,0,0,0,0,0,0
Kenedee,14,M,Mich,0,0,0,2,1,0,2,0,0
Kenna,25,A,Mich,0,0,0,0,0,0,0,0,0
Kim,19,D,Mich,0,0,0,0,0,0,0,0,0
Lauren,8,M,Mich,0,0,0,0,0,0,1,0,0
Logan,20,M,Mich,0,1,0,0,0,0,0,0,0
Maysen,22,M,Mich,0,0,0,0,0,0,0,0,0
Natalie,1,M,Mich,2,5,0,2,1,1,1,0,0
Rachel,26,A,Mich,0,0,0,0,0,0,0,0,0
Raegan,24,A,Mich,0,0,0,0,0,0,0,0,0
Roni,4,D,Mich,0,0,0,0,0,0,0,0,0
Sarah,10,A,Mich,0,0,0,0,0,0,0,0,0
